USER_GENDER,MARITAL,PRICE,NO_ITEMS,PUR_VALUE,USER_INCOME,PURCHASE
1,M,11000,1,1616,4911,0
1,M,16000,1,13872,1785,0
0,U,20000,2,12922,5920,1
1,U,18000,1,1020,25029,0
1,M,18000,1,1102,3727,1
0,U,10000,0,0,13867,1
0,U,14000,1,6708,284,0
0,U,25000,1,16385,17250,0
0,M,25000,1,7580,5426,0
0,U,16000,1,8831,5551,0
1,U,15000,1,9244,271,0
0,U,18000,0,0,8985,0
0,U,19000,1,3383,7121,1
1,M,31000,1,8595,4117,1
0,U,28000,1,7582,11523,0
1,U,20000,1,12440,33762,1
1,U,19000,0,0,4054,1
1,M,20000,1,9432,3589,0
0,M,9000,1,11210,0,1
0,U,23000,0,0,0,0
1,U,15000,0,0,15935,0
0,U,25000,1,16295,635,0
1,U,14000,2,6864,38879,1
1,M,16000,0,0,2643,0
1,U,16000,1,13155,782,0
1,U,32000,2,24283,27162,1
0,M,14000,1,1199,0,0
1,M,31000,1,16071,2955,1
1,U,15000,2,22612,35005,1
0,U,30000,1,17158,0,0
1,U,15000,1,8700,2620,0
0,M,32000,1,7654,0,0
1,U,14000,0,0,520,1
0,U,13000,1,1479,9362,0
0,U,14000,0,0,0,0
1,U,18000,1,4078,20091,1
0,M,15000,1,12168,0,1
0,U,20000,1,9571,10455,0
1,U,12000,1,19750,32998,0
1,M,14000,1,10496,4681,1
0,U,20000,1,2958,1331,0
0,U,14000,0,0,6265,1
1,U,14000,0,0,3302,0
1,U,31000,0,0,24648,0
0,U,16000,1,3234,1908,1
0,U,31000,1,2982,1512,0
1,U,11000,0,0,1012,0
0,U,9000,0,0,18694,0
1,U,13000,0,0,10279,1
0,M,23000,0,0,11910,0
0,U,30000,0,0,8838,0
0,U,31000,0,0,0,0
0,U,15000,2,23475,19184,1
0,U,10000,0,0,18826,0
0,U,9000,1,3022,5916,0
1,U,15000,0,0,12698,1
1,M,14000,0,0,188,1
0,U,10000,0,0,1592,1
0,U,10000,0,0,0,1
1,U,10000,0,0,149,0
0,M,20000,0,0,0,0
0,U,28000,2,10222,0,1
0,M,10000,0,0,0,0
0,U,9000,2,20763,6897,1
0,M,18000,0,0,0,1
1,M,14000,1,6435,14726,0
0,M,16000,1,11260,0,0
0,U,11000,1,9352,6211,1
0,M,10000,0,0,5165,1
1,U,12000,0,0,26042,0
0,U,28000,1,5740,6871,0
1,M,16000,1,18264,4109,0
0,M,14000,2,18508,0,1
0,M,20000,0,0,0,1
1,U,12000,0,0,14251,0
1,U,32000,1,17632,577,0
0,U,18000,1,18552,13779,0
1,U,14000,2,8780,18574,1
0,M,19000,1,12505,0,0
0,U,15000,1,5376,0,0
0,U,13000,1,15949,5188,1
1,U,14000,1,15525,3498,1
1,U,11000,0,0,23316,0
0,M,10000,1,7545,13030,0
1,U,15000,0,0,22604,0
0,M,32000,1,18910,0,0
0,U,24000,1,5200,0,0
1,U,32000,1,16111,20096,1
1,M,12000,2,6011,4577,1
1,U,15000,1,16714,42178,0
0,U,9000,1,11745,8178,0
1,U,20000,1,9624,3419,0
1,U,25000,1,18071,3074,0
0,U,9000,1,15888,15181,0
1,U,15000,0,0,3591,0
0,M,14000,1,18362,8130,0
0,M,14000,1,12291,12306,0
1,U,15000,1,6050,41239,1
1,U,10000,0,0,701,0
0,M,16000,0,0,0,1
1,M,13000,1,9204,10144,0
1,M,13000,0,0,38353,0
0,U,25000,0,0,8784,0
1,U,11000,1,5079,15283,0
0,M,31000,0,0,0,0
1,U,20000,2,7030,15737,1
1,U,28000,0,0,1598,0
0,U,28000,0,0,18667,1
0,U,16000,1,1919,19347,0
1,U,25000,0,0,48206,1
1,U,30000,0,0,802,0
1,U,14000,0,0,4383,0
1,U,19000,1,4708,3599,0
0,M,15000,0,0,0,0
1,U,11000,1,16381,38869,0
1,U,15000,0,0,36469,0
1,U,25000,1,12952,23545,0
0,M,28000,0,0,0,0
1,U,14000,0,0,2668,1
1,U,12000,0,0,33565,0
0,M,19000,0,0,0,0
1,U,9000,1,1238,2825,0
0,M,10000,1,15603,6524,0
0,U,16000,1,16831,11675,0
1,U,28000,2,19546,384,1
1,M,28000,1,6248,35836,0
0,U,10000,1,9387,0,0
1,M,30000,1,14799,669,0
1,U,14000,1,9010,20566,1
1,M,18000,1,3818,21896,0
1,U,16000,0,0,31829,0
0,M,14000,0,0,0,0
0,U,10000,1,17922,1807,0
1,U,32000,0,0,2939,0
0,U,20000,1,3004,16479,0
0,U,28000,1,14639,6148,0
0,U,14000,1,13681,8682,0
1,U,16000,1,3062,17862,1
1,U,28000,0,0,29094,0
0,M,30000,0,0,11443,0
0,U,15000,0,0,6664,0
1,M,11000,1,1496,2528,1
0,U,10000,0,0,0,0
0,U,10000,0,0,1540,0
0,U,15000,0,0,6241,0
1,U,25000,0,0,2576,1
1,U,14000,2,29165,26418,1
0,U,18000,0,0,6445,0
0,U,9000,1,11585,5722,1
0,U,28000,1,14772,7731,0
0,U,18000,1,6710,0,0
1,M,18000,1,18455,39591,0
0,U,15000,0,0,6948,0
0,M,14000,0,0,0,0
0,U,9000,0,0,7882,0
0,U,25000,0,0,1046,1
0,U,20000,0,0,6579,1
0,U,12000,1,15396,1224,0
0,U,16000,1,13572,0,0
1,U,14000,0,0,37917,0
0,U,16000,0,0,0,0
1,U,30000,1,15333,594,0
0,M,20000,0,0,0,1
1,M,25000,2,20716,15972,1
0,U,10000,1,12119,6039,0
0,U,24000,0,0,1440,1
1,M,25000,2,12658,31635,1
0,U,11000,0,0,903,0
1,U,15000,1,11047,1056,1
1,U,15000,1,4477,27345,0
0,M,19000,1,16302,0,0
0,U,16000,1,16656,17196,1
0,U,10000,1,2476,709,0
1,U,15000,2,8669,846,1
1,U,14000,0,0,12049,1
1,M,24000,0,0,49811,1
1,U,20000,1,15934,19086,1
1,M,25000,1,14608,254,0
1,M,20000,0,0,30917,0
0,M,10000,1,5303,0,0
1,U,25000,1,9772,3263,1
0,U,25000,0,0,14008,0
0,M,10000,0,0,8229,0
0,U,25000,0,0,9012,1
1,U,18000,1,7760,661,0
0,M,12000,1,1128,10675,0
1,U,18000,1,14105,36011,0
0,U,10000,2,18836,0,1
1,U,23000,1,13581,4785,0
1,U,32000,1,11326,4359,0
0,U,10000,0,0,16951,0
1,U,18000,1,7560,12273,0
1,U,12000,0,0,20133,0
1,U,31000,0,0,31266,0
0,U,16000,0,0,0,1
1,U,11000,0,0,30203,0
0,U,20000,1,17107,11962,0
0,U,16000,0,0,308,0
0,U,10000,2,17344,6571,1
1,U,18000,1,18640,1345,0
1,U,10000,0,0,35027,0
1,U,9000,2,6560,18111,1
0,U,18000,1,11803,18114,0
0,U,10000,1,12788,486,1
1,M,20000,1,16698,23663,0
0,U,23000,0,0,5866,0
1,U,10000,1,11202,34008,1
1,M,14000,1,19812,3210,0
1,U,14000,2,5729,39209,1
1,U,15000,0,0,20109,1
0,U,15000,0,0,0,0
0,U,11000,0,0,0,0
1,U,10000,1,19960,33210,0
1,U,16000,0,0,906,0
1,U,19000,0,0,768,0
0,M,19000,0,0,0,0
0,U,18000,0,0,6138,0
0,U,23000,0,0,1732,0
1,M,14000,1,16941,16160,0
1,U,19000,0,0,20662,0
0,U,19000,0,0,0,1
0,U,28000,0,0,8473,0
0,U,14000,0,0,1346,0
0,U,10000,1,2112,7304,0
0,U,10000,1,1075,7980,1
1,U,9000,0,0,39043,0
1,U,20000,1,5543,1806,0
1,U,23000,0,0,21720,0
1,U,11000,1,14020,18068,1
1,M,24000,1,10047,39342,0
0,M,18000,1,11062,0,1
0,M,25000,0,0,0,0
1,U,20000,0,0,10127,0
1,U,10000,0,0,547,1
1,U,19000,1,3888,566,1
1,U,15000,1,9576,19897,0
0,U,18000,1,13905,8537,0
1,U,16000,2,23071,2889,1
1,U,11000,1,8181,668,0
1,M,25000,1,8977,3348,0
1,M,15000,0,0,16720,0
1,U,18000,1,6862,12070,0
1,U,12000,0,0,43291,0
1,U,15000,2,15739,25576,1
0,U,24000,0,0,0,0
1,M,11000,1,14591,12244,0
0,U,28000,1,13317,0,0
1,M,14000,0,0,18083,0
1,U,24000,0,0,715,0
1,U,12000,0,0,4960,0
0,U,15000,0,0,7219,0
1,U,11000,0,0,2584,0
0,M,30000,0,0,0,1
1,U,31000,2,14156,2056,1
1,U,31000,2,19225,40815,1
0,U,16000,1,8254,6378,0
0,M,32000,1,10196,0,1
1,U,23000,0,0,3291,0
0,U,16000,1,9993,10516,0
1,U,16000,2,17078,722,1
0,M,32000,0,0,0,0
1,M,14000,0,0,29189,0
1,U,16000,2,6516,29572,1
0,U,10000,1,3816,7281,0
1,M,18000,0,0,3350,1
0,U,16000,1,13236,12046,1
0,U,24000,1,5324,0,0
1,U,31000,0,0,14903,0
1,M,15000,0,0,28406,0
1,U,32000,1,18020,38485,0
0,U,11000,1,18650,0,0
1,U,18000,0,0,1457,0
0,U,9000,2,22583,15999,1
1,M,32000,0,0,49581,0
1,U,12000,2,26009,28542,1
1,U,15000,1,2425,1505,0
0,U,28000,0,0,13419,0
1,M,23000,1,8838,2024,0
1,U,14000,1,14631,47466,1
1,M,16000,2,25707,21910,1
0,U,12000,1,11301,0,0
1,U,18000,0,0,500,0
0,M,15000,0,0,0,1
1,M,16000,1,12364,4978,0
1,U,23000,0,0,1258,0
1,U,23000,2,12152,20156,1
0,U,20000,0,0,0,0
0,U,30000,0,0,0,0
1,M,15000,1,17113,43264,0
0,U,16000,0,0,6858,0
1,U,15000,1,19503,29621,0
1,M,23000,0,0,30258,0
0,U,9000,1,11608,14869,0
0,M,14000,0,0,12547,1
1,U,15000,0,0,33425,0
1,U,24000,2,24325,20635,1
0,M,20000,0,0,0,0
1,U,13000,0,0,1401,0
1,M,16000,1,13482,3748,0
1,U,12000,1,6233,392,0
0,U,18000,1,19568,7137,0
1,U,30000,0,0,37992,0
1,U,20000,1,8045,14272,0
1,U,13000,2,8475,13420,1
1,U,32000,1,4190,487,1
0,M,14000,1,16622,0,0
1,M,14000,1,13873,34212,0
0,U,15000,0,0,0,0
1,M,12000,1,12489,39015,1
1,U,11000,0,0,1184,0
1,U,12000,1,16016,11821,1
0,M,20000,1,14118,0,1
1,U,9000,0,0,15834,0
1,U,25000,1,3167,34116,0
0,U,15000,0,0,1193,1
1,M,14000,1,8150,2916,0
0,U,12000,0,0,237,0
1,U,32000,2,11749,23552,1
0,M,9000,1,19567,19572,0
0,U,20000,0,0,1818,0
1,M,10000,2,11124,2936,1
1,U,14000,0,0,29948,0
1,U,20000,1,9533,4583,1
0,U,32000,0,0,0,0
1,M,24000,1,16873,19712,1
1,U,10000,1,18168,31767,0
1,M,20000,1,10252,4450,0
0,U,15000,1,6978,8344,0
0,U,14000,0,0,1013,0
1,U,11000,0,0,2234,1
1,U,11000,1,7491,27418,0
1,U,19000,0,0,32953,0
0,U,15000,2,9417,1142,1
0,U,31000,1,4926,577,1
0,M,15000,0,0,17347,0
0,U,14000,1,11151,6279,0
0,U,14000,1,4711,0,1
0,M,15000,1,17946,0,1
1,M,24000,1,14103,21940,0
1,U,20000,0,0,2061,0
1,U,16000,0,0,946,0
0,M,15000,0,0,0,0
1,U,13000,1,9389,11077,0
0,M,18000,2,6113,0,1
1,M,10000,1,19144,364,0
0,U,30000,2,22960,8840,1
1,M,15000,1,15704,2292,0
0,U,20000,1,11208,6465,0
0,U,9000,0,0,6776,0
1,M,12000,1,5599,20185,0
1,U,15000,1,12475,23123,0
0,U,20000,2,27249,616,1
1,U,10000,0,0,3424,0
0,U,14000,2,19276,0,1
1,M,18000,0,0,36736,0
0,U,15000,0,0,1544,0
0,M,32000,2,11264,0,1
0,U,9000,2,13747,1769,1
1,U,11000,0,0,71,0
0,U,31000,2,15721,1552,1
1,M,30000,0,0,21781,0
1,M,11000,0,0,46534,0
0,M,19000,0,0,0,0
0,U,20000,1,7882,17978,0
1,U,11000,2,21100,830,1
0,U,32000,1,12783,509,0
1,M,31000,0,0,20986,0
1,U,20000,0,0,16286,0
0,U,19000,1,5463,0,1
0,U,15000,0,0,1282,0
0,U,10000,1,1162,14469,1
0,U,20000,0,0,8678,0
0,U,12000,0,0,0,0
0,U,16000,0,0,6352,0
0,U,11000,1,19887,6560,1
1,U,28000,1,18123,432,0
0,U,9000,1,5362,0,0
0,U,10000,0,0,11433,1
1,M,28000,2,7639,39936,1
0,M,16000,1,2897,17595,0
0,U,12000,0,0,0,0
0,M,18000,1,2868,12983,0
0,U,16000,0,0,340,1
1,U,16000,1,1145,36047,0
0,U,28000,1,19736,16901,0
0,U,23000,0,0,0,0
0,M,15000,1,7676,0,0
0,U,24000,1,15953,18,1
0,U,14000,1,18989,0,0
1,U,12000,0,0,315,0
0,U,11000,1,9914,8870,0
0,U,13000,1,3481,5541,1
1,M,32000,2,20503,23064,1
0,U,11000,0,0,515,0
0,U,18000,2,16301,0,1
1,U,19000,2,23075,267,1
0,U,16000,1,11475,8917,0
0,U,32000,0,0,1079,0
0,U,23000,1,13423,12463,0
1,M,20000,0,0,19172,0
1,U,23000,0,0,27432,0
1,M,32000,2,24224,2850,1
0,U,10000,1,7766,10574,0
0,U,20000,1,17393,5961,0
1,U,14000,1,1599,498,1
0,U,12000,1,6141,0,0
0,U,28000,1,19025,19972,1
1,U,24000,1,6030,3641,0
1,U,18000,1,1911,2147,1
1,U,16000,1,15164,12103,0
1,M,11000,0,0,22480,1
1,U,15000,0,0,27075,0
1,U,9000,0,0,34416,1
1,M,9000,2,10115,10537,1
1,U,25000,1,15161,3940,0
1,U,15000,1,2499,34674,1
1,U,9000,2,12840,156,1
0,U,11000,2,24280,7922,1
1,M,14000,2,25993,38224,1
1,U,11000,0,0,31196,0
0,U,16000,0,0,19469,0
0,M,28000,1,11150,11890,0
0,M,31000,0,0,0,0
1,U,16000,1,6493,3314,1
1,U,28000,2,7899,18445,1
0,U,25000,0,0,19425,1
0,U,11000,0,0,0,0
1,U,20000,2,12061,14083,1
1,U,18000,2,17029,10198,1
0,M,20000,0,0,0,1
0,M,32000,2,25308,19828,1
0,M,10000,0,0,0,0
1,U,16000,1,6450,29603,0
1,U,25000,2,9701,36170,1
0,U,28000,0,0,857,0
1,U,30000,1,6947,18956,1
1,U,12000,0,0,48064,0
0,U,10000,1,15214,5567,0
0,U,11000,2,13844,0,1
0,U,12000,0,0,15861,0
1,U,11000,0,0,2424,0
0,M,32000,2,20309,0,1
1,M,12000,1,18598,2605,0
1,M,28000,0,0,757,1
0,U,30000,1,15036,8724,0
0,U,14000,0,0,16340,0
1,U,18000,0,0,670,0
0,U,11000,0,0,7458,0
0,U,23000,1,12020,9386,1
1,U,15000,1,6462,890,0
0,U,10000,0,0,13883,0
0,U,20000,1,6725,0,0
0,M,14000,1,7767,18626,0
0,M,15000,0,0,5919,1
0,M,19000,1,3248,8284,0
0,M,14000,1,11139,0,0
1,M,15000,1,6870,49393,0
1,U,10000,1,16055,33036,0
1,M,16000,0,0,11575,0
1,U,16000,0,0,28,1
0,U,10000,2,14096,1271,1
1,U,13000,0,0,686,0
1,U,24000,0,0,48939,0
1,U,12000,1,13060,668,0
0,U,32000,1,18818,7783,0
1,U,13000,1,6129,39532,0
0,U,9000,0,0,7343,0
1,U,18000,1,1919,43551,0
0,M,10000,1,19930,16326,0
1,U,15000,2,16553,630,1
0,M,10000,1,9893,11276,1
1,U,28000,2,9224,4575,1
0,M,24000,1,7086,0,0
1,U,25000,1,9676,33293,0
1,U,16000,0,0,49975,0
1,U,16000,0,0,3725,1
1,U,18000,2,6535,4263,1
0,U,13000,1,10616,8998,0
0,U,32000,0,0,0,0
1,U,20000,0,0,48321,1
0,M,13000,1,2151,0,1
0,U,15000,1,12092,1313,0
0,U,16000,0,0,5733,1
1,M,31000,0,0,37230,0
0,U,14000,0,0,0,0
0,U,12000,2,13764,5337,1
0,M,10000,1,14246,0,0
1,U,19000,1,18501,3963,0
1,U,32000,1,15862,37716,0
1,U,25000,0,0,33841,0
1,M,16000,1,12109,34174,0
1,U,15000,0,0,14758,0
0,U,25000,0,0,12161,1
0,U,14000,1,14629,0,1
0,U,10000,0,0,7874,0
0,M,24000,1,14469,0,0
0,U,16000,0,0,7411,1
1,U,24000,1,18325,30594,1
0,U,10000,1,1802,0,0
0,U,30000,0,0,0,0
1,U,14000,1,2673,4013,0
0,U,10000,1,17178,0,0
0,M,20000,1,15387,0,0
1,U,19000,0,0,18028,1
0,M,16000,0,0,0,0
1,M,23000,1,10501,12745,1
0,U,10000,0,0,8864,0
1,U,15000,1,11104,26571,0
0,U,32000,0,0,1613,0
0,U,11000,1,10965,0,0
1,U,11000,1,16954,28550,0
1,M,13000,0,0,21805,0
0,U,14000,1,13198,12315,1
1,U,15000,2,28369,26533,1
1,U,31000,0,0,3229,1
1,M,18000,0,0,31712,0
1,U,15000,1,1592,17438,0
1,U,16000,2,10249,25273,1
0,U,10000,1,8164,83,0
0,U,15000,1,13026,14778,0
1,U,31000,1,15734,892,1
0,M,19000,1,13766,16733,0
0,U,14000,0,0,1435,0
1,U,12000,1,16073,30,0
0,U,25000,0,0,6488,0
0,U,31000,0,0,1935,0
1,U,13000,2,21779,32681,1
0,M,32000,1,18547,0,0
1,M,15000,1,2281,3119,0
1,M,28000,2,29343,46978,1
0,U,31000,0,0,5466,0
0,M,15000,0,0,0,0
1,U,9000,0,0,26332,1
1,U,12000,1,12454,22053,1
1,U,15000,0,0,44567,1
0,M,28000,1,19690,19850,1
0,U,18000,1,2326,0,1
0,U,15000,1,6915,532,1
0,M,16000,1,4330,0,0
0,U,20000,1,10484,6438,0
0,U,9000,1,19641,5394,1
1,M,16000,1,4382,30772,0
0,U,30000,0,0,6578,1
1,M,20000,1,16015,24057,0
1,U,15000,0,0,2177,1
0,U,12000,0,0,0,0
0,M,14000,1,10194,0,1
1,M,23000,0,0,35147,0
0,U,11000,1,19724,8466,0
0,M,31000,2,12322,15860,1
0,U,18000,1,19289,694,0
1,M,31000,1,4927,4890,1
1,U,11000,1,1123,2847,0
1,U,25000,0,0,48767,0
1,U,15000,1,19112,16826,1
1,M,20000,0,0,20997,0
0,U,32000,0,0,1022,0
1,U,11000,1,14330,20122,0
0,U,13000,0,0,1015,0
1,U,25000,2,5294,313,1
0,U,24000,1,7200,13631,0
0,M,16000,0,0,0,0
1,U,31000,1,2999,2246,0
0,M,15000,0,0,0,0
1,M,11000,0,0,33440,1
1,U,31000,0,0,281,1
0,U,12000,0,0,5684,0
0,U,28000,2,22699,6022,1
0,U,11000,0,0,1060,1
1,U,30000,1,14171,13057,0
0,U,32000,0,0,5770,0
1,M,31000,0,0,36414,0
1,M,28000,0,0,21255,0
1,M,10000,1,1398,354,0
1,U,30000,1,14937,48624,0
0,M,16000,0,0,0,1
0,M,20000,1,8099,0,0
1,U,14000,0,0,15674,0
1,U,20000,1,1368,30842,0
1,U,15000,2,5475,817,1
0,U,24000,0,0,1732,0
1,U,10000,1,10382,32930,0
0,M,24000,2,24581,0,1
1,U,15000,2,15465,39582,1
0,U,31000,2,16248,13760,1
1,U,15000,1,5177,20314,0
0,M,20000,1,7908,0,0
1,M,19000,1,3803,38692,0
1,M,23000,2,11028,38970,1
0,M,16000,0,0,0,0
1,U,10000,1,15465,25786,1
0,U,31000,0,0,806,0
1,U,9000,1,1685,40748,0
1,M,19000,0,0,14391,0
0,U,16000,1,5529,0,1
0,U,25000,1,7374,176,1
1,U,15000,0,0,1262,1
1,U,9000,1,17173,26132,0
1,U,20000,0,0,695,0
1,M,13000,2,20269,38744,1
0,M,15000,1,11685,5868,0
1,U,12000,1,13899,12560,0
0,U,13000,1,14350,0,0
1,U,20000,0,0,13318,0
1,U,16000,0,0,47841,0
1,U,28000,2,11299,16751,1
0,U,10000,1,1199,0,0
1,U,20000,1,8196,26130,0
0,M,24000,0,0,0,0
0,U,19000,0,0,6060,0
1,M,32000,1,11598,3362,0
1,U,24000,2,24402,49805,1
1,U,19000,1,7540,18035,0
0,U,10000,0,0,8634,0
1,U,14000,2,7919,12454,1
1,M,10000,0,0,35791,1
1,U,11000,0,0,36405,0
1,U,32000,1,3078,879,1
0,U,19000,0,0,1575,0
0,U,9000,0,0,1962,0
1,U,11000,0,0,3117,0
0,U,9000,1,10982,1500,1
0,U,10000,0,0,8343,0
0,M,11000,0,0,0,1
0,U,19000,1,2232,8999,0
1,U,14000,0,0,49105,0
0,M,30000,1,11780,0,0
0,U,13000,2,21901,7955,1
0,U,14000,0,0,1813,1
1,U,14000,1,4071,22090,1
0,U,25000,1,11162,15398,0
1,M,11000,1,6146,32059,1
0,U,10000,2,22702,0,1
0,U,18000,1,7421,9901,0
0,U,15000,0,0,17592,1
1,U,30000,0,0,10484,1
0,U,20000,1,1965,1467,0
1,M,20000,0,0,18069,1
1,U,25000,2,24227,1055,1
1,U,20000,0,0,14391,0
1,U,9000,0,0,19186,1
1,U,20000,0,0,41780,1
1,U,20000,0,0,14892,0
0,M,20000,0,0,0,0
1,U,13000,1,15252,4695,1
1,U,9000,1,5175,22883,1
0,M,18000,1,8628,0,0
0,M,14000,0,0,13483,0
1,U,12000,0,0,2423,1
0,U,11000,1,13365,19056,1
1,U,10000,0,0,22567,0
1,M,12000,1,1303,1434,1
1,U,28000,0,0,16648,0
1,M,20000,0,0,23566,0
0,M,16000,0,0,10980,0
0,U,16000,2,7487,8777,1
0,U,23000,1,10677,1217,0
0,U,32000,1,12592,0,0
0,U,20000,1,4672,0,1
0,M,24000,0,0,0,0
1,U,16000,1,8391,2785,0
1,M,14000,1,1720,32563,1
1,M,15000,1,4811,32220,0
1,M,14000,2,5838,29910,1
1,M,25000,2,26252,18182,1
1,U,30000,1,2862,24639,1
0,U,10000,1,15929,1477,1
0,M,16000,1,4266,0,0
0,M,23000,1,4335,0,0
1,U,11000,1,13465,29337,1
1,U,13000,1,12325,912,0
1,U,32000,1,16113,18853,0
0,U,13000,1,6103,0,0
1,U,10000,1,14638,4483,0
0,U,30000,1,11060,215,1
0,M,24000,2,26026,0,1
1,M,28000,0,0,1197,1
1,U,16000,0,0,25071,0
1,M,13000,1,17272,10729,0
0,U,20000,0,0,697,0
1,U,14000,1,17337,35,0
1,M,18000,1,3662,18266,1
0,U,20000,1,11941,1813,0
0,U,10000,0,0,0,0
1,U,25000,0,0,37395,0
0,M,28000,0,0,8669,1
0,U,32000,0,0,0,0
1,U,25000,2,21099,288,1
0,U,20000,2,24119,7423,1
1,U,32000,1,2349,939,0
0,U,13000,1,13883,8866,1
1,U,30000,1,5708,44500,0
0,U,15000,2,27522,10973,1
0,M,32000,0,0,0,0
0,U,23000,0,0,14628,0
0,U,25000,0,0,1345,0
1,U,16000,1,12510,27932,0
1,M,16000,1,6063,11715,0
1,U,31000,1,1625,2023,0
1,U,31000,2,27922,4429,1
1,U,28000,1,15223,34387,0
1,U,30000,0,0,3028,0
1,M,10000,0,0,34621,0
1,U,18000,0,0,29694,0
0,M,14000,0,0,0,1
1,U,20000,1,12599,21062,0
0,U,28000,2,28612,8589,1
0,M,11000,2,15816,0,1
0,M,16000,1,11201,0,0
1,U,13000,1,18079,33077,0
0,U,20000,0,0,1954,0
0,U,30000,1,9066,5824,1
1,M,32000,0,0,2119,0
1,M,15000,0,0,24408,0
1,U,25000,0,0,40272,0
0,U,14000,1,9007,681,0
0,U,30000,1,9082,6657,0
0,U,28000,1,14036,0,0
1,U,31000,0,0,578,0
0,M,15000,0,0,0,1
0,M,11000,1,18390,0,0
1,U,13000,2,29088,47390,1
0,U,16000,0,0,16117,1
1,M,10000,2,6791,36571,1
1,M,32000,1,1077,4190,0
0,U,10000,0,0,0,0
1,U,18000,0,0,162,1
1,U,30000,0,0,4860,1
1,U,20000,0,0,480,0
0,U,31000,1,16856,0,0
1,M,24000,1,16233,483,0
1,U,14000,2,9215,36881,1
0,U,28000,1,13405,6843,1
0,U,9000,2,13163,0,1
1,U,11000,1,11395,332,0
0,U,11000,1,2501,5155,0
1,U,14000,1,5621,13771,0
1,U,24000,2,18324,2098,1
0,U,31000,0,0,0,1
1,M,10000,0,0,20809,0
0,U,10000,0,0,14749,0
0,U,12000,0,0,0,0
1,M,18000,1,1585,506,0
0,M,32000,0,0,0,0
1,M,23000,0,0,28038,0
1,U,25000,0,0,14072,0
1,U,16000,0,0,4250,0
0,U,13000,0,0,7911,1
0,M,20000,0,0,14995,0
0,M,28000,0,0,0,0
1,U,16000,1,17295,2381,0
0,U,10000,0,0,18268,0
1,U,11000,0,0,26193,1
0,U,10000,0,0,5295,0
0,U,10000,0,0,0,0
0,U,19000,0,0,0,0
0,U,19000,0,0,0,0
0,U,15000,1,10016,8530,0
1,U,23000,0,0,45657,1
0,U,28000,1,9487,0,0
1,M,31000,0,0,760,0
0,U,20000,2,22020,6712,1
1,M,18000,0,0,22704,1
0,M,12000,0,0,0,1
1,M,13000,2,22227,320,1
1,U,23000,1,4737,2117,0
0,U,13000,0,0,8742,1
0,M,11000,1,1683,0,0
0,U,32000,1,14714,5971,1
0,U,12000,0,0,5333,0
0,U,15000,1,3750,10609,0
1,U,20000,0,0,22726,1
0,U,28000,0,0,7191,1
1,M,19000,1,19035,3109,1
0,M,25000,2,17937,10596,1
1,M,10000,0,0,17309,0
1,U,31000,0,0,29184,0
0,U,16000,0,0,10208,0
1,U,9000,0,0,28156,0
0,M,10000,1,7408,0,1
